MA2,DH5,DL18,FH3,RA1,RA3,CR1,TA2
0.03,0.82330719,67.02777778,73.11111111,0.623666667,-0.30351176,0.057132594,0.653468351
0.68,4.026825397,7.805555556,79.75,0.606419798,-0.266754161,0.272842411,0.640003475
0,0.080797386,315.9166667,22.27777778,0.826554054,-0.265882353,0.014732804,0.886562585
0.1,4.260808081,23.47222222,106.3333333,2.164430798,-1.01210818,0.187088617,0.851066506
0,0.494245791,291.3055556,32.55555556,1.665892857,-0.82384131,0.039814411,0.882260162
1.4,2.392138889,0,8.888888889,0.306249654,-0.220163022,0.349701127,0.158721883
1.76,3.154716049,0,11.44444444,0.668023741,-0.29263653,0.289009498,0.185602619
2.11,4.191,0,12.88888889,1.095378275,-0.535174594,0.328115367,0.26399572
2.08,5.550466667,0,26.80555556,1.367882851,-1.068504038,0.289545218,0.282773853
2.84,6.812756173,0,22,1.397605545,-0.7392004,0.373304531,0.4259404
2.73,6.819844444,0,24.88888889,1.496991299,-0.615530803,0.385641963,0.367654772
2.29,5.496425926,0,25.66666667,0.938265478,-0.592981735,0.440328789,0.273073891
2.4,4.863768519,0,12.91666667,1.339676052,-0.7220953,0.409214129,0.339695384
1.25,4.21987619,0,52.63888889,1.227206669,-0.541062266,0.355813224,0.286264552
1.38,3.042803175,0,34.25,0.411158046,-0.183201687,0.249845273,0.205675617
1.03,3.843860317,0,85.30555556,0.611036078,-0.383225434,0.277602332,0.353667117
1.5,4.520780864,0,53.52777778,3.021961251,-1.077365931,0.349697415,0.242223273
1.7,4.145416667,0,51.5,0.563407442,-0.297938017,0.332507008,0.175425169
0.82,5.48067284,0,83.94444444,4.063057192,-1.323967698,0.375754508,0.406493029
1.95,5.305936508,0,40,2.768111224,-1.200157284,0.419060169,0.186494957
1,3.25175873,0,47.66666667,2.081662651,-0.776723186,0.290840013,0.362084506
1.07,3.174380952,0,50.02777778,1.045356179,-0.50979616,0.276670881,0.34608208
0.89,4.220405229,0.027777778,58.63888889,1.850161901,-0.679731849,0.304920834,0.422622366
2.35,4.490688889,0,17.22222222,1.144975787,-0.771655791,0.348997074,0.223089453
1.77,3.378412698,0,19.11111111,0.881578699,-0.549811765,0.316986604,0.154209236
2.08,3.848514286,0,16.86111111,1.319655593,-0.591643892,0.360111704,0.19296806
1.91,5.210612698,0,36.11111111,2.171512926,-1.088796528,0.378934827,0.204750036
1.93,3.820222222,0,18.05555556,1.239551408,-0.526388812,0.334767437,0.172707362
2.07,3.966165079,0,17.66666667,1.026910762,-0.460312209,0.355539325,0.178195895
0.97,5.553831746,0,76.52777778,2.658009479,-1.079448294,0.354240847,0.37418135
0.03,0.038152381,0.25,1.166666667,0.014468085,-0.014137324,0.004933012,0.675324007
0.06,0.124114198,0,15.27777778,0.031764097,-0.026666667,0.013410995,0.548273992
0.29,0.933790476,0,45.36111111,0.129157895,-0.080355085,0.077138512,0.356998224
0.18,0.497015873,0.027777778,33.86111111,0.073010563,-0.046785311,0.050540034,0.238333986
0.43,1.455901587,0.055555556,58.16666667,0.309364665,-0.214296475,0.112350331,0.648501586
1.36,2.921006349,0,33.27777778,0.657039079,-0.365763712,0.422667638,0.299802071
1.45,3.062732026,0,30.36111111,0.636843066,-0.390033398,0.347282129,0.268297462
0.52,1.388298413,0,46.08333333,0.229084754,-0.134669041,0.168512723,0.653536135
0.11,0.301952381,0,24.47222222,0.048722853,-0.036697314,0.03960088,0.355132522
0.23,0.525790476,0,26.75,0.07041762,-0.048100351,0.068344285,0.282074448
0.34,0.720644444,0,22.33333333,0.0865786,-0.057443609,0.096469617,0.285324528
0.23,0.659194444,0.083333333,34.61111111,0.048824764,-0.03792991,0.02421783,0.29320011
0.18,0.593542088,0,32.52777778,0.027962785,-0.025074713,0.034942298,0.232411532
0.22,0.613575758,0,28.72222222,0.023872466,-0.01926546,0.047313495,0.200898361
0.14,0.441961905,0,37.86111111,0.021995173,-0.018012463,0.034445672,0.190641826
0.24,0.6206,0,29.30555556,0.02825794,-0.022355045,0.055054852,0.20446366
0.08,0.26554321,19.5,39.11111111,0.033873048,-0.027960269,0.02037958,0.318372472
0.32,1.210755556,0,46.55555556,0.055902452,-0.042265708,0.085642604,0.53422094
0.19,1.025851852,1.277777778,64.61111111,0.068141643,-0.057016362,0.06034174,0.499282375
0.25,1.103339506,0.083333333,57.75,0.058194286,-0.042727834,0.067580871,0.443467997
0.19,0.623146032,0,47.13888889,0.036388684,-0.031390011,0.053223499,0.304734201
0.01,0.187146032,18.27777778,57,0.062555249,-0.043206019,0.008501143,0.525999278
0.17,0.930212418,0.5,65.11111111,0.08219582,-0.051840189,0.059210423,0.48927754
0.38,1.493981481,0,53,0.076642395,-0.056511027,0.077146613,0.636089144
0.19,0.888819048,0,49.27777778,0.050898611,-0.039577046,0.05356089,0.360366419
0.1,0.503748366,1.111111111,59.25,0.044573544,-0.033550959,0.039604107,0.270007399
0.16,0.616761905,0,56.41666667,0.057550184,-0.039115607,0.0479545,0.29277133
0.6,3.21991358,0,80.08333333,0.193150877,-0.162472042,0.11697951,0.664688848
0.04,1.219387205,48.11111111,125.1944444,0.105846729,-0.079450113,0.0346556,0.638261496
0.32,2.050222222,0,77.88888889,0.165174651,-0.156629106,0.082006028,0.779893134
1.23,2.698787037,0,22.36111111,0.134572161,-0.114957414,0.170895072,0.398155288
0.41,1.257375817,0,40.58333333,0.102366458,-0.072360406,0.090962484,0.487969137
0.53,1.6368,0,47.33333333,0.14330303,-0.104808399,0.114714508,0.654018198
2.2,5.111928105,0,22.22222222,0.606136364,-0.378764233,0.325529777,0.257438864
3.14,7.302515432,0,20.80555556,0.987853592,-0.580268438,0.463812487,0.309695359
3,6.630952381,0,23.19444444,0.726295137,-0.39506086,0.431881518,0.286117777
2.88,6.644503268,0,31.97222222,0.648256967,-0.408699026,0.420691498,0.300692419
